,frame,x,y,state,interpolation,track
10,2,766.138,1020.64,4,I,20
15,3,762.139,1020.04,4,I,20
20,4,758.686,1025.8,4,,20
25,5,749.399,1027.19,4,I,20
30,6,740.111,1030.77,4,,20
35,7,735.402,1036.78,4,,20
0,0,787.919,1014.09,4,,21
5,1,789.295,1007.48,4,,21
10,2,792.012,1004.71,4,I,21
15,3,797.921,1004.45,4,I,21
20,4,804.134,1002.95,4,I,21
25,5,808.131,998.849,4,,21
30,6,808.881,989.236,4,I,21
35,7,808.131,981.844,4,,21
40,8,806.411,977.435,4,I,21
45,9,805.686,978.493,4,I,21
50,10,805.415,982.084,4,I,21
55,11,806.401,989.301,4,I,21
60,12,806.3,996.756,4,,21
65,13,805.936,999.818,4,I,21
70,14,797.928,994.925,4,,21
75,15,787.793,990.715,4,I,21
80,16,777.265,982.013,4,I,21
85,17,768.365,972.164,4,,21
90,18,760.605,962.642,4,I,21
95,19,752.018,962.969,4,I,21
100,20,739.868,967.302,4,I,21
105,21,732.764,975.145,4,I,21
110,22,738.28,983.414,4,,21
115,23,740.896,1003.03,4,,21
120,24,733.503,1015.79,4,I,21
125,25,727.607,1020.3,4,I,21
130,26,726.311,1022.54,7,I,21
0,0,32.833,934.568,4,,22
5,1,32.3948,933.563,4,I,22
10,2,37.6676,935.164,4,,22
15,3,35.2207,932.258,4,I,22
20,4,33.2173,930.837,4,I,22
25,5,32.7877,929.923,4,I,22
30,6,32.5778,928.464,4,I,22
35,7,32.3941,927.085,4,I,22
40,8,32.6517,927.155,4,I,22
45,9,31.1165,927.213,4,I,22
50,10,27.7331,926.48,4,I,22
55,11,25.3031,926.457,4,I,22
60,12,22.2294,926.035,4,I,22
65,13,19.0473,924.251,4,I,22
70,14,19.2513,919.808,4,I,22
75,15,20.4651,914.699,4,,22
80,16,21.4309,909.499,4,I,22
85,17,19.9742,902.829,4,I,22
90,18,21.4726,896.578,4,I,22
95,19,20.9882,896.247,4,I,22
100,20,19.428,896.965,4,I,22
105,21,19.716,897.937,4,I,22
110,22,23.0748,898.734,4,I,22
115,23,28.4297,899.172,4,I,22
120,24,30.8459,898.387,4,,22
125,25,32.9901,896.523,4,I,22
130,26,35.5053,896.184,4,I,22
135,27,42.6324,896.565,4,I,22
140,28,48.1899,897.677,4,I,22
145,29,54.2156,896.63,4,I,22
150,30,56.6555,899.071,4,I,22
155,31,53.9499,903.106,4,I,22
160,32,48.5938,916.482,4,I,22
165,33,46.3359,920.078,4,I,22
170,34,48.0392,923.752,4,I,22
175,35,47.6243,931.704,4,I,22
180,36,47.4525,934.437,4,I,22
185,37,47.4505,936.34,4,I,22
190,38,47.6177,938.66,4,I,22
195,39,42.4131,939.317,7,,22
0,0,24.0385,927.533,4,,23
5,1,22.5412,927.453,4,,23
10,2,26.8921,928.899,4,I,23
15,3,28.3242,933.287,4,I,23
20,4,29.4751,935.051,4,I,23
25,5,32.47,938.921,4,I,23
30,6,35.9328,939.619,4,I,23
35,7,37.6676,939.613,4,,23
40,8,37.535,938.696,4,I,23
45,9,38.406,939.171,4,I,23
50,10,39.4619,939.421,4,I,23
55,11,39.1506,936.647,4,,23
60,12,41.0993,940.594,4,I,23
65,13,41.8524,943.454,4,I,23
70,14,44.4893,949.104,4,,23
75,15,44.7994,952.152,4,I,23
80,16,42.3641,958.439,4,I,23
85,17,39.5873,963.097,4,I,23
90,18,37.3598,964.21,4,I,23
95,19,36.4634,964.164,4,I,23
100,20,36.5232,963.926,4,I,23
105,21,34.1133,964.122,4,I,23
110,22,30.4937,964.077,4,I,23
115,23,22.4232,962.296,4,I,23
120,24,16.0522,959.643,4,I,23
125,25,10.4142,955.919,4,I,23
130,26,7.0247,954.866,4,I,23
135,27,1.77957,951.18,4,,23
140,28,0.59319,945.545,4,,23
145,29,0.0389139,939.904,4,I,23
0,0,282.012,1007.27,4,,24
5,1,282.537,1006.53,4,I,24
10,2,281.907,1006.74,4,I,24
15,3,282.283,1006.96,4,,24
20,4,281.76,1007.22,4,,24
25,5,281.527,1006.18,4,I,24
30,6,282.536,1007.25,4,I,24
35,7,283.556,1008.34,4,I,24
40,8,281.68,1005.82,4,I,24
45,9,280.163,1004.55,4,I,24
50,10,278.6,1003.61,4,I,24
55,11,276.343,1002.81,4,I,24
60,12,273.65,1003.56,4,,24
65,13,272.33,1000.78,4,I,24
70,14,271.538,999.906,4,I,24
75,15,270.388,998.297,4,I,24
80,16,269.052,995.321,4,I,24
85,17,268.53,992.177,4,I,24
90,18,269.395,988.374,4,I,24
95,19,269.286,986.321,4,I,24
100,20,269.027,983.659,4,I,24
105,21,269.581,981.063,4,I,24
110,22,270.576,978.835,4,I,24
115,23,273.65,976.612,4,,24
120,24,276.789,974.519,4,,24
125,25,280.975,972.687,4,,24
130,26,280.452,973.995,4,,24
135,27,282.96,974.688,4,I,24
140,28,285.521,974.765,4,I,24
145,29,288.174,975.829,4,I,24
150,30,290.672,976.811,4,I,24
155,31,292.616,976.689,4,I,24
160,32,293.904,977.129,4,I,24
165,33,297.988,978.28,4,I,24
170,34,302.269,981.595,4,I,24
175,35,306.346,985.311,4,I,24
